Tarih,Gün,Gün Dönemi,;Sıcaklık,Rüzgar,Yağış Beklentisi,Gök Gürültülü Sağanak Yağış Olasılığı,Yağış,Bulutlarla Kaplı,Maks UV İndeksi
23 Haziran,Pazar,Gündüz,39°En Yüks.,BGB 6 km/sa,%0,%0,0.0 mm,%0,11 Çok Sağlıksız
23 Haziran,Pazar,Gece,21°En Düş.,KB 6 km/sa,%0,%0,0.0 mm,%0,
24 Haziran,Pazartesi,Gündüz,40°En Yüks.,BGB 13 km/sa,%0,%0,0.0 mm,%2,11 Çok Sağlıksız
24 Haziran,Pazartesi,Gece,21°En Düş.,BKB 7 km/sa,%0,%0,0.0 mm,%0,
25 Haziran,Salı,Gündüz,40°En Yüks.,B 13 km/sa,%0,%0,0.0 mm,%0,11 Çok Sağlıksız
25 Haziran,Salı,Gece,21°En Düş.,KKB 7 km/sa,%0,%0,0.0 mm,%0,
26 Haziran,Çarşamba,Gündüz,41°En Yüks.,BKB 11 km/sa,%0,%0,0.0 mm,%0,11 Çok Sağlıksız
26 Haziran,Çarşamba,Gece,21°En Düş.,KB 6 km/sa,%0,%0,0.0 mm,%0,
27 Haziran,Perşembe,Gündüz,41°En Yüks.,BGB 11 km/sa,%0,%0,0.0 mm,%0,11 Çok Sağlıksız
27 Haziran,Perşembe,Gece,22°En Düş.,BKB 6 km/sa,%0,%0,0.0 mm,%0,
28 Haziran,Cuma,Gündüz,37°En Yüks.,B 13 km/sa,%0,%0,0.0 mm,%0,11 Çok Sağlıksız
28 Haziran,Cuma,Gece,19°En Düş.,BKB 6 km/sa,%0,%0,0.0 mm,%0,
29 Haziran,Cumartesi,Gündüz,37°En Yüks.,KB 6 km/sa,%0,%0,0.0 mm,%4,11 Çok Sağlıksız
29 Haziran,Cumartesi,Gece,20°En Düş.,K 7 km/sa,%0,%0,0.0 mm,%0,
